iter	Passed	Remaining
1349	209291	565860
1350	209443	565698
1351	209596	565538
1352	209750	565379
1353	209904	565223
1354	210062	565074
1355	210220	564928
1356	210386	564804
1357	210539	564642
1358	210690	564478
1359	210845	564322
1360	211001	564168
1361	211159	564021
1362	211317	563876
1363	211482	563747
1364	211644	563609
1365	211798	563452
1366	211957	563307
1367	212116	563162
1368	212269	563003
1369	212425	562849
1370	212578	562688
1371	212735	562539
1372	212890	562383
1373	213046	562232
1374	213211	562102
1375	213369	561955
1376	213530	561814
1377	213685	561661
1378	213847	561524
1379	213999	561360
1380	214153	561203
1381	214310	561053
1382	214467	560903
1383	214625	560754
1384	214781	560602
1385	214942	560462
1386	215096	560304
1387	215251	560150
1388	215412	560009
1389	215572	559867
1390	215726	559710
1391	215884	559562
1392	216063	559468
1393	216219	559316
1394	216378	559171
1395	216555	559073
1396	216726	558959
1397	216884	558810
1398	217040	558657
1399	217203	558523
1400	217357	558364
1401	217512	558209
1402	217673	558070
1403	217831	557922
1404	217989	557772
1405	218148	557627
1406	218317	557508
1407	218484	557383
1408	218639	557228
1409	218795	557073
1410	218953	556925
1411	219111	556778
1412	219269	556631
1413	219432	556494
1414	219584	556332
1415	219736	556169
1416	219893	556017
1417	220059	555891
1418	220218	555746
1419	220372	555585
1420	220523	555422
1421	220679	555268
1422	220834	555113
1423	220990	554960
1424	221147	554809
1425	221307	554666
1426	221463	554512
1427	221619	554360
1428	221776	554209
1429	221928	554046
1430	222086	553897
1431	222240	553738
1432	222394	553579
1433	222549	553423
1434	222704	553268
1435	222860	553116
1436	223013	552955
1437	223171	552807
1438	223340	552687
1439	223499	552540
1440	223655	552387
1441	223812	552236
1442	223969	552086
1443	224135	551957
1444	224288	551796
1445	224447	551649
1446	224605	551502
1447	224763	551353
1448	224920	551203
1449	225081	551060
1450	225235	550902
1451	225390	550747
1452	225548	550599
1453	225704	550445
1454	225863	550299
1455	226022	550153
1456	226178	549999
1457	226332	549840
1458	226486	549683
1459	226648	549545
1460	226806	549396
1461	226964	549247
1462	227124	549103
1463	227288	548970
1464	227439	548803
1465	227594	548648
1466	227750	548494
1467	227903	548333
1468	228065	548195
1469	228239	548086
1470	228416	547982
1471	228571	547826
1472	228725	547667
1473	228882	547517
1474	229036	547359
1475	229194	547209
1476	229352	547060
1477	229512	546917
1478	229666	546757
1479	229815	546587
1480	229972	546438
1481	230139	546309
1482	230297	546161
1483	230457	546017
1484	230614	545865
1485	230768	545706
1486	230918	545539
1487	231072	545381
1488	231229	545229
1489	231385	545077
1490	231542	544923
1491	231699	544774
1492	231871	544657
1493	232059	544579
1494	232235	544471
1495	232412	544367
1496	232624	544343
1497	232781	544193
1498	232957	544085
1499	233106	543915
1500	233271	543782
1501	233430	543635
1502	233588	543485
1503	233744	543331
1504	233901	543180
1505	234065	543043
1506	234216	542879
1507	234369	542718
1508	234526	542566
1509	234682	542412
1510	234837	542255
1511	234996	542108
1512	235158	541968
1513	235313	541810
1514	235467	541653
1515	235625	541503
1516	235781	541348
1517	235937	541194
1518	236098	541052
1519	236277	540951
1520	236440	540813
1521	236596	540658
1522	236772	540550
1523	236961	540471
1524	237125	540334
1525	237288	540197
1526	237456	540068
1527	237476	539606
1528	237647	539486
1529	237809	539344
1530	237979	539222
1531	238146	539094
1532	238307	538951
1533	238469	538811
1534	238633	538674
1535	238785	538511
1536	238941	538356
1537	239101	538212
1538	239259	538062
1539	239418	537914
1540	239575	537763
1541	239731	537608
1542	239884	537447
1543	240036	537284
1544	240215	537180
1545	240366	537016
1546	240522	536862
1547	240678	536706
1548	240840	536565
1549	240993	536404
1550	241147	536245
1551	241305	536097
1552	241464	535947
1553	241623	535800
1554	241781	535651
1555	241937	535497
1556	242089	535333
1557	242245	535178
1558	242403	535029
1559	242561	534879
1560	242719	534728
1561	242875	534575
1562	243036	534430
1563	243188	534268
1564	243345	534116
1565	243504	533968
1566	243663	533820
1567	243817	533662
1568	243975	533512
1569	244148	533394
1570	244308	533247
1571	244458	533080
1572	244612	532922
1573	244766	532763
1574	244924	532612
1575	245081	532461
